"","country","china","development","diplomacy","environment","fisheries","indigenous","legal","resources","russia","security","tourism","transport"
"1","Canada",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"2","Canada",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Canada",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"4","Canada",NA,NA,NA,NA,NA,"high",NA,NA,NA,NA,NA,NA
"5","Canada",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"7","Canada",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"8","Canada",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"9","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"10","Canada",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"11","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"12","China",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"13","China",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","China",NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA,NA
"15","China",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"16","China",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"18","China",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"19","China",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"20","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"21","China","high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","China",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"23","China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA
"24","Denmark",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"25","Denmark",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Denmark",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"27","Denmark",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"28","Denmark",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"30","Denmark",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"31","Denmark",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"32","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"33","Denmark","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"35","Denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"36","Finland",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"37","Finland",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Finland",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"39","Finland",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"40","Finland",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"42","Finland",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"43","Finland",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"44","Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"45","Finland","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Finland",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"47","Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA
"48","France",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"49","France",NA,NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","France",NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA
"51","France",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"52","France",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"54","France",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"55","France",NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"56","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA
"57","France","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","France",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"59","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"60","Germany",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"61","Germany",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Germany",NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA
"63","Germany",NA,"low",NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"64","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"65","Germany",NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"66","Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"67","Germany","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Germany",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"69","Greenland",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"70","Greenland",NA,NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Greenland",NA,NA,NA,NA,NA,"high",NA,NA,NA,NA,NA,NA
"72","Greenland",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Greenland",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,"low",NA
"74","Greenland",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"75","Iceland",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"76","Iceland",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Iceland",NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA
"78","Iceland",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"79","Iceland",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"81","Iceland",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"82","Iceland",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"83","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"84","Iceland","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"86","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"87","India",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"88","India",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","India",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"90","India",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"91","India",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"93","India",NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"94","India",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"95","India","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"96","India",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"97","Italy",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"98","Italy",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Italy",NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA
"100","Italy",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"101","Italy",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"103","Italy",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"104","Italy",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"105","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"106","Italy","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"108","Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"109","Japan",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"110","Japan",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Japan",NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA
"112","Japan",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"113","Japan",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"115","Japan",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"116","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"117","Japan","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Japan",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"119","Korea",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"120","Korea",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Korea",NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA
"122","Korea",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"123","Korea",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"125","Korea",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"126","Korea",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"127","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"128","Korea","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"130","Netherlands",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"131","Netherlands",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Netherlands",NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA,NA
"133","Netherlands",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"134","Netherlands",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"136","Netherlands",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"137","Netherlands",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"138","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"139","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"140","Norway",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"141","Norway",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Norway",NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA
"143","Norway",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"144","Norway",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"146","Norway",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"147","Norway",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"148","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"149","Norway","medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Norway",NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA
"151","Norway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"152","Poland",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"153","Poland",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Poland",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"155","Poland",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"156","Poland",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"158","Poland",NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"159","Poland",NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"160","Poland",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"161","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"162","Russia",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"163","Russia",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Russia",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"165","Russia",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"166","Russia",NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"168","Russia",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"169","Russia",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"170","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",NA,NA
"171","Russia",NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA
"172","Russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"173","Singapore",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"174","Singapore",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Singapore",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"176","Singapore",NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA,NA
"177","Singapore",NA,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"179","Singapore",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"180","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"181","Singapore",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"182","Spain",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"183","Spain",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Spain",NA,NA,NA,NA,NA,"low","low",NA,NA,NA,NA,NA
"185","Spain",NA,"low",NA,NA,"low",NA,NA,NA,NA,NA,NA,NA
"186","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"187","Spain",NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA
"188","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"189","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"190","Sweden",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"191","Sweden",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Sweden",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"193","Sweden",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"194","Sweden",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"196","Sweden",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"197","Sweden",NA,NA,NA,NA,NA,NA,NA,"high",NA,NA,NA,NA
"198","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA
"199","Sweden","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA,NA
"201","Sweden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"202","Switzerland",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"203","Switzerland",NA,NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Switzerland",NA,NA,NA,NA,NA,NA,"very low",NA,NA,"very low",NA,NA
"205","Switzerland",NA,"very low",NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA
"206","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low"
"207","Switzerland",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"208","Switzerland",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"209","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"210","Switzerland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"211","UK",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"212","UK",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","UK",NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA
"214","UK",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"215","UK",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"217","UK",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"218","UK",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"219","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,"low",NA,NA
"220","UK",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"221","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
"222","US",NA,NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA
"223","US",NA,NA,"high",NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","US",NA,NA,NA,NA,NA,NA,"low",NA,NA,NA,NA,NA
"225","US",NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA,NA,NA
"226","US",NA,"medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"medium"
"228","US",NA,NA,NA,NA,"very low",NA,NA,NA,NA,NA,NA,NA
"229","US",NA,NA,NA,NA,NA,NA,NA,"medium",NA,NA,NA,NA
"230","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,"high",NA,NA
"231","US","very low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","US",NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA,NA,NA
"233","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very low",NA
